product_id,name,price_text,price,sold_text,sold_est,rating_text,reviews_text,product_url
1167,[เซตผิวใส ชะลอวัย] Vitalife Astaxanthin Ultra Complex with CoQ10 | วีต้าไลฟ์ แอสตาแซนธิน พลัส [24 แคปซูล] + Tokoyo Night Ex Plus Beauty I โตโกโย ไนท์ อีเอ็กซ์ พลัส สูตรบิวตี้(ใหญ่),฿999.00,999,(1)สมุทรสาคร,1,,,https://www.lazada.co.th/products/pdp-i5107900815.html
1175,(ของแท้) Astaxanthin (Naturalis) 120 softgels,"฿1,854.00",1854,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5712096613.html
1188,สาหร่ายแดง 12mg 50 softgels Bioastin Hawaiian Astaxanthin 12mg,"฿1,190.00",1190,(1)นครศรีธรรมราช,1,,,https://www.lazada.co.th/products/pdp-i5654728184.html
1192,[แถม คอลลาเจนไตรเปปไทด์ 3 ขวด] แอสตาแซนธิน 6 มก. โกลบอลวิตามิน x 3 ขวด แถม คอลลาเจนไตรเปปไทด์ นิวทริออล 3 ขวด Astaxanthin 6 mg. Global Vitamins Collagen Tripeptide Nutriall,฿399.00,399,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5655527143.html
1254,ISNIH แอสตาแซนธิน กัมมี่ Astaxanthin Gummies Vitamin C Gummy วิตามินซี เพิ่มพลังงาน บํารุงสุขภาพผิว รสมะม่วง,฿329.60,329.6,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5728514773.html
1257,HWASA ASTA Q10 Astaxanthin 6 mg AstaZine ฮวาซา แอสต้าแซนธิน 6 มก พร้อมส่ง,฿490.00,490,(1)กำแพงเพชร,1,,,https://www.lazada.co.th/products/pdp-i5252628916.html
1258,Kagary Astaxanthin ธรรมชาติสนับสนุนสุขภาพหัวใจระบบภูมิคุ้มกันและสุขภาพร่วมกันเพิ่มพลังงาน การดูแลผิวพรรณและผิวขาว,฿109.50,109.5,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5802845602.html
1263,[แพ็ค 3 ขวด] แอสตาแซนธิน 6 มก. จากสารสกัดจากสาหร่ายฮีมาโตค็อกคัส Astaxanthin 6 mg. Haematococcus วิตามินเวิลด์ Vitamin World แอสต้าแซนธิน แอสตาแซนทิน,฿499.00,499,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i4999699655.html
1266,VISTRA Astaxanthin 6 Mg. Plus Vitamin E (30 แคปซูล) วิสทร้า แอสตาแซนธีน 6 มก,฿615.11,615.11,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i4895908954.html
1301,SOLAURA โซลอร่า Asta E IV+ แอสต้าแซนทิน 30 Softgels AstReals Astaxanthin 6 mg แอสตาแซนธิน,฿490.00,490,(1)สมุทรปราการ,1,,,https://www.lazada.co.th/products/pdp-i5186609448.html
1322,[ แคมเปญ ] Benutra Tetra SOD with Asta + CoQ10 1 กล่อง 30 Softgels Astaxanthin AstaREAL Japan สาหร่าย สีเขียว ผิวใส ชุ่มชื้น ผิวดูใส เพิ่มความชุ่มชื้น ดูโกลว์ คุ้มกันแดด,"฿1,580.00",1580,(1)เชียงใหม่,1,,,https://www.lazada.co.th/products/pdp-i5719910232.html
1340,"พิคโนจินอล,แอสต้าแซนธิน เรสเวอราทรอล Pycnogenol, Astaxanthin and Resveratrol ตรา HISOVIT 30 แคปซูล",฿290.00,290,(1)นครราชสีมา,1,,,https://www.lazada.co.th/products/pdp-i5747244460.html
1342,NEOCA Asthin Astaxanthin 6 mg อาหารเสริมแอสต้าแซนธิน 6 มก AstaReal 100% จากญี่ปุ่น,฿399.11,399.11,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i5594195523.html
1344,Astaxanthin Nipa 2แถม2 วิตามิน พลัส คอลลาเจนบำรุงผิว นิภาแอสต้า ปกป้องผิวจากแดด,฿580.00,580,(1)อุดรธานี,1,,,https://www.lazada.co.th/products/pdp-i5242904729.html
1350,"สาหร่ายแดง astaxanthin สาหร่ายแดงแคปซู, แอสต้าแซนทีน สาหร่ายสีแดง แอสต้าแซนธีน แอสต้าแซนติน อาหารเสริมบำรุงผิว",฿528.00,528,(1)กรุงเทพมหานคร,1,,,https://www.lazada.co.th/products/pdp-i4806465374.html
1381,Vistra Astaxanthin Plus Vitamin E 4mg (30 Tablets),฿552.00,552,(1)ปทุมธานี,1,,,https://www.lazada.co.th/products/pdp-i4716376984.html
170,InterCare Astaxanthin 6 mg + CoQ10 Sesame oil coconut oil 30 ชนิดเม็ดซอฟเจล,฿279.00,279,(2)สมุทรปราการ,2,,,https://www.lazada.co.th/products/pdp-i5579905398.html
275,[ส่งฟรี] แอสต้าแซนทิน กิฟฟารีน Astaxanthin แอสตาแซนธิน สาหร่ายแดง GIFFARINE ชนิดแคปซูล,฿528.00,528,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i4114506632.html
347,แท้ 100% Supurra แอสตาแซนธิน 6 มก.จากญี่ปุ่นเสริม วิตามินอี+โคคิวเท็น Astaxanthin 6 mg. from Japan+Q10+vitaminE,฿109.00,109,(2)ปทุมธานี,2,,,https://www.lazada.co.th/products/pdp-i5169038253.html
349,[2ซองแถม2ซอง] EWERY ASTAXANTHIN แอนตาแซนทิน+แอลกลูต้า5มก นวัตกรรมสุดยอดอาหารผิวแห่งปีที่แอร์โฮสเตสเลือก เพื่อผิวเนียนนุ่มใส ไม่แห้งกร้าน,฿108.00,108,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i3832821830.html
486,สาหร่ายแดง แอสตาแซนธิน สาหร่ายแดงกิฟฟารีน แอสตาแซนธินกิฟฟารีน Astaxanthin GIFFARINE,฿528.00,528,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i4296161694.html
525,COOLKIN Astaxanthin Softgels สนับสนุนการเผาผลาญ เพิ่มพลังงาน ส่งเสริมสุขภาพการทำงานของหัวใจ,฿238.00,238,(2)เชียงใหม่,2,,,https://www.lazada.co.th/products/pdp-i5660879935.html
552,ไลโคปีนผสมแอสตาแซนธิน - 30/60/120 แคปซูล -- เพิ่มพลังงานและสนับสนุนการเผาผลาญ,฿80.50,80.5,(2)สมุทรปราการ,2,,,https://www.lazada.co.th/products/pdp-i5829940735.html
571,(หมดอายุ 30/10/2025) Nutra Asta นิวทรา แอสตา Astaxanthin 6 mg. สาหร่ายสีแดง แอสตาแซนธิน 30 แคปซูล (Pline),฿165.00,165,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i4820901414.html
594,[++ดีลเด็ด++] วิตามินเอ พลัส ลูทีน ซีแซนทีน วิตามินพลัส Vitamin A plus Lutein Zeaxanthin Vitamin plus สารสกัดจากดอกดาวเรือง วิตามินบำรุงสายตา วิตามินบำรุงตา,฿159.00,159,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i4881191125.html
